taskId,taskName,User,Complexity Scale,Total Duration
1,Task1,A,2,3.18
2,Task2,B,44,15.17
3,Task2,C,56,17.76
4,Task2,D,20,9.97
5,Task1,A,13,6.72
6,Task2,B,42,11.65
7,Task2,C,39,10.06
8,Task1,D,3,3.83
9,Task1,A,23,9.93
10,Task2,B,43,13.31
11,Task2,C,33,11.75
12,Task2,D,8,3.38
13,Task2,A,24,4.35
14,Task2,B,39,13.4
15,Task2,C,35,12.55
16,Task2,D,10,2.19
17,Task1,A,2,2.62
18,Task2,B,61,13.05
19,Task1,C,12,6.55
20,Task1,D,5,4.16
21,Task1,A,2,1.05
22,Task2,B,62,12.59
23,Task2,C,56,13.61
24,Task1,D,18,10.02
25,Task2,A,34,8.2
26,Task1,B,10,3.91
27,Task1,C,6,6.24
28,Task2,D,21,12.95
29,Task2,A,32,10.95
30,Task2,B,32,11.14
31,Task2,C,17,4.3
32,Task2,D,80,17.26
33,Task2,A,54,10.89
34,Task2,B,51,10.85
35,Task1,C,29,10.32
36,Task2,D,22,6.09
37,Task2,A,37,9.84
38,Task2,B,61,12.81
39,Task2,C,38,10.42
40,Task2,D,32,16.4
41,Task1,A,22,10.88
42,Task1,B,4,3.98
43,Task2,C,92,15.54
44,Task2,D,57,16.83
45,Task2,A,28,11.95
46,Task2,B,55,15.36
47,Task1,C,4,2.22
48,Task1,D,7,5.7
49,Task2,A,29,6.84
50,Task2,B,53,16.61
51,Task2,C,35,8.4
52,Task2,D,23,6.56
53,Task2,A,30,9.27
54,Task2,B,37,13.47
55,Task2,C,53,9.41
56,Task2,D,74,14.39
57,Task1,A,10,5.23
58,Task2,B,68,17.49
59,Task1,C,4,2.39
60,Task1,D,13,5.14
61,Task1,A,2,3.32
62,Task2,B,57,11.82
63,Task2,C,34,8.73
64,Task2,D,24,4.71
65,Task2,A,36,7.06
66,Task2,B,64,13.73
67,Task1,C,3,2.13
68,Task2,D,30,7.12
69,Task2,A,18,7.33
70,Task1,B,2,1.63
71,Task2,C,15,5.04
72,Task2,D,21,5.77
73,Task2,A,27,8.78
74,Task2,B,48,19.18
75,Task2,C,16,4.32
76,Task2,D,48,10.22
77,Task2,A,35,7.14
78,Task2,B,33,13.79
79,Task2,C,72,10.64
80,Task1,D,8,4.7
81,Task1,A,26,5.1
82,Task2,B,51,9.78
83,Task2,C,28,5.19
84,Task2,D,39,8.71
85,Task1,A,1,2.87
86,Task2,B,19,8.05
87,Task2,C,25,5.65
88,Task1,D,11,3.41
89,Task1,A,4,2.75
90,Task2,B,27,9.26
91,Task1,C,10,4.92
